Item,User Id,Gender,Age,Date of Transaction,Store,Brand,Location,Category,Price
0,46,Female,29,2016-12-24,StarBucks HK,StarBucks,Tung Chung,Coffee,118
1,34,Male,57,2016-12-27,"7-Eleven, HK (200)",7-Eleven,Tung Chung,Grocery,335
2,1,Male,52,2017-02-25,The Grill Room,The Grill Room,Causeway Bay,Restaurants,424
3,43,Female,51,2016-12-09,ICHIRAN TST 1,ICHIRAN,Tsim Sha Tsui,Restaurants,201
4,9,Male,44,2017-02-15,StarBucks (4426),StarBucks,Central,Coffee,165
5,6,Female,64,2016-12-01,Spaghetti House (42),Spaghetti House,Tai Koo Shing,Restaurants,335
6,23,Female,20,2017-02-28,Thai on 5 Seafood Grill and Bar,Thai on 5 Seafood Grill and Bar,Tsim Sha Tsui,Restaurants,2285
7,9,Male,44,2017-02-24,McDonalds-260-Queens,McDonalds,Central,Fast Food,71
8,5,Female,42,2017-01-12,Chef Stage By Eddie Chu,Chef Stage,Tsim Sha Tsui,Restaurants,2497
9,16,Female,64,2016-12-02,McDonalds-260-Queens,McDonalds,Central,Fast Food,157
10,39,Female,40,2017-01-13,Thai on 5 Seafood Grill and Bar,Thai on 5 Seafood Grill and Bar,Tsim Sha Tsui,Restaurants,1444
11,4,Male,62,2017-02-09,Outback Steakhouse CWB 2,Outback Steakhouse,Causeway Bay,Restaurants,498
12,19,Female,37,2017-01-08,Park N Shop 154,Park N Shop,Central,Grocery,754
13,36,Female,21,2016-12-28,"7-Eleven, HK (200)",7-Eleven,Tung Chung,Grocery,139
14,22,Male,67,2017-01-24,Dominos Central,Dominos,Central,Restaurants,358
15,38,Male,18,2016-12-13,Chef Stage By Eddie Chu,Chef Stage,Tsim Sha Tsui,Restaurants,4065
16,9,Male,44,2016-12-27,Park N Shop WC 1,Park N Shop,Wan Chai,Grocery,1163
17,20,Male,26,2017-02-20,Bombay House,Bombay House,Prince Edward,Restaurants,696
18,24,Female,37,2017-02-11,Ibon Rae House,Ibon Rae,Central,Restaurants,517
19,1,Male,52,2017-01-23,Sushi Man YL,Sushi Man,Yuen Long,Restaurants,2099
20,32,Female,42,2016-12-16,"7-Eleven, HK (1223)",7-Eleven,Central,Grocery,183
21,18,Female,51,2016-12-20,Jaspas PE,Jaspas,Prince Edward,Restaurants,276
22,4,Male,62,2017-02-04,McDonalds WC 333,McDonalds,Wan Chai,Fast Food,78
23,40,Female,56,2017-02-20,Thai on 5 Seafood Grill and Bar,Thai on 5 Seafood Grill and Bar,Tsim Sha Tsui,Restaurants,1652
24,22,Male,67,2016-12-21,Park N Shop 154,Park N Shop,Central,Grocery,582
25,43,Female,51,2017-02-03,McDonalds SHA,McDonalds,Sha Tin,Fast Food,106
26,20,Male,26,2017-02-05,StarBucks 115-4,StarBucks,Sha Tin,Coffee,155
27,36,Female,21,2017-01-18,Jaspas PE,Jaspas,Prince Edward,Restaurants,1426
28,3,Male,40,2017-02-14,Tulsi SYP,Tulsi and Wine,Sai Ying Pun,Restaurants,1072
29,22,Male,67,2017-02-18,McDonalds-260-Queens,McDonalds,Central,Fast Food,85
30,8,Male,66,2017-01-06,"7-Eleven, HK (1223)",7-Eleven,Central,Grocery,266
31,42,Male,60,2016-12-02,Chef Stage By Eddie Chu,Chef Stage,Tsim Sha Tsui,Restaurants,2138
32,23,Female,20,2016-12-13,Park N Shop WC 1,Park N Shop,Wan Chai,Grocery,733
33,28,Male,65,2017-01-25,Pacific Coffee HK,Pacific Coffee,Tung Chung,Coffee,247
34,24,Female,37,2016-12-06,Wellcome Sha 333,Wellcome,Sha Tin,Grocery,761
35,19,Female,37,2017-01-09,Itunes.com/bill,Apple,Itunes.com,Electronics,796
36,44,Female,28,2017-02-06,Japan Noodle House,Japan Noodle House,Prince Edward,Restaurants,612
37,47,Female,63,2017-02-23,StarBucks 115-4,StarBucks,Sha Tin,Coffee,142
38,13,Female,27,2017-01-20,Calimex CWB,Calimex,Causeway Bay,Restaurants,404
39,18,Female,51,2017-02-09,StarBucks (4426),StarBucks,Central,Coffee,238
40,48,Male,40,2016-12-06,Flame Japanese Cuisine,Flame Group,Tsim Sha Tsui,Restaurants,441
41,35,Male,21,2016-12-22,Wellcome WC 1,Wellcome,Wan Chai,Grocery,179
42,11,Female,41,2016-12-13,Ibon Rae House,Ibon Rae,Central,Restaurants,706
43,2,Male,19,2017-01-27,McDonalds TC,McDonalds,Tung Chung,Fast Food,64
44,46,Female,29,2017-02-09,ICHIRAN TST 1,ICHIRAN,Tsim Sha Tsui,Restaurants,201
45,41,Female,23,2017-02-08,Lei Garden Central,Lei Garden,Central,Restaurants,6088
46,8,Male,66,2016-12-26,The Grill Room,The Grill Room,Causeway Bay,Restaurants,625
47,4,Male,62,2017-01-15,Wellcome WC 1,Wellcome,Wan Chai,Grocery,780
